size of n,number of threads,time in ns
100000,64,137010969
100000,64,270906
100000,64,261008
100000,64,249813
100000,64,241749
100000,64,241033
1000000,64,955426
1000000,64,902412
1000000,64,905108
1000000,64,886412
1000000,64,884804
1000000,64,883538
10000000,64,6667552
10000000,64,6650411
10000000,64,6679102
10000000,64,7014922
10000000,64,6815497
10000000,64,9821100
100000000,64,64949638
100000000,64,58457013
100000000,64,57188031
100000000,64,57180753
100000000,64,56178466
100000000,64,59940832
100000,128,504265
100000,128,342789
100000,128,327699
100000,128,322668
100000,128,248861
100000,128,262983
1000000,128,1508730
1000000,128,983602
1000000,128,920132
1000000,128,880539
1000000,128,848322
1000000,128,814136
10000000,128,6753339
10000000,128,9499911
10000000,128,9191468
10000000,128,7102757
10000000,128,9706293
10000000,128,7304190
100000000,128,57114512
100000000,128,58373163
100000000,128,56280201
100000000,128,56931103
100000000,128,68652639
100000000,128,60845561
100000,256,479484
100000,256,268735
100000,256,303211
100000,256,580471
100000,256,320128
100000,256,509358
1000000,256,984466
1000000,256,940177
1000000,256,870282
1000000,256,1073574
1000000,256,1014293
1000000,256,871257
10000000,256,6908943
10000000,256,6935857
10000000,256,7139915
10000000,256,6882968
10000000,256,7026774
10000000,256,6966075
100000000,256,57295262
100000000,256,61236138
100000000,256,58476962
100000000,256,59470195
100000000,256,58101638
100000000,256,66962257
100000,512,655179
100000,512,427898
100000,512,339252
100000,512,390446
100000,512,335692
100000,512,410556
1000000,512,1114491
1000000,512,1024899
1000000,512,1008941
1000000,512,1036752
1000000,512,1191093
1000000,512,1048422
10000000,512,7020125
10000000,512,9856509
10000000,512,7526855
10000000,512,7112880
10000000,512,7903914
10000000,512,9722826
100000000,512,60206116
100000000,512,68444966
100000000,512,61507092
100000000,512,69068410
100000000,512,67428324
100000000,512,59834070
100000,1024,525655
100000,1024,440669
100000,1024,611974
100000,1024,545184
100000,1024,489194
100000,1024,439483
1000000,1024,1202616
1000000,1024,1226437
1000000,1024,1706524
1000000,1024,1152005
1000000,1024,1180302
1000000,1024,1192669
10000000,1024,7110384
10000000,1024,7332583
10000000,1024,9429304
10000000,1024,7199926
10000000,1024,7189093
10000000,1024,9882989
100000000,1024,65791860
100000000,1024,58451695
100000000,1024,60102704
100000000,1024,62161089
100000000,1024,62050479
100000000,1024,68244542
