size of n,number of threads,time in ns
size of n,number of threads,time in ns
100000,64,748614
100000,64,203008
100000,64,226324
100000,64,227192
100000,64,226840
100000,64,226261
1000000,64,2313618
1000000,64,2367845
1000000,64,2412801
1000000,64,2329879
1000000,64,4209905
1000000,64,3270642
10000000,64,21550889
10000000,64,22026146
10000000,64,21286690
10000000,64,22266932
10000000,64,22264670
10000000,64,22160586
100000000,64,221157728
100000000,64,218288920
100000000,64,218005889
100000000,64,216040194
100000000,64,217851850
100000000,64,216383585
100000,128,227672
100000,128,256062
100000,128,226133
100000,128,265078
100000,128,207398
100000,128,235114
1000000,128,2118467
1000000,128,7533310
1000000,128,3142764
1000000,128,2378475
1000000,128,2123890
1000000,128,2325471
10000000,128,21994093
10000000,128,22152334
10000000,128,21674415
10000000,128,21726366
10000000,128,22771562
10000000,128,21564302
100000000,128,216664994
100000000,128,217851456
100000000,128,214844120
100000000,128,217440849
100000000,128,216921227
100000000,128,215334744
100000,256,250673
100000,256,207057
100000,256,228176
100000,256,207876
100000,256,226346
100000,256,224772
1000000,256,4320491
1000000,256,2406412
1000000,256,2335224
1000000,256,2353252
1000000,256,2404255
1000000,256,2357435
10000000,256,23174873
10000000,256,21785207
10000000,256,21467657
10000000,256,22307856
10000000,256,22596537
10000000,256,22103539
100000000,256,216876914
100000000,256,217843557
100000000,256,215755261
100000000,256,217647461
100000000,256,216625168
100000000,256,216881626
100000,512,227491
100000,512,225466
100000,512,255516
100000,512,226052
100000,512,462840
100000,512,301559
1000000,512,3080156
1000000,512,2325844
1000000,512,2148921
1000000,512,2375127
1000000,512,2548916
1000000,512,2355645
10000000,512,21387445
10000000,512,22175934
10000000,512,22498372
10000000,512,21800283
10000000,512,21759267
10000000,512,21544779
100000000,512,217785313
100000000,512,217376672
100000000,512,216499045
100000000,512,216869602
100000000,512,217098916
100000000,512,219340218
100000,1024,216296
100000,1024,261360
100000,1024,323537
100000,1024,748702
100000,1024,209887
100000,1024,302962
1000000,1024,2262856
1000000,1024,2090995
1000000,1024,2109339
1000000,1024,6954600
1000000,1024,2413989
1000000,1024,2297562
10000000,1024,21971083
10000000,1024,21351001
10000000,1024,22081935
10000000,1024,21480838
10000000,1024,22215730
10000000,1024,21698458
100000000,1024,216139802
100000000,1024,218132053
100000000,1024,216077079
100000000,1024,216377255
100000000,1024,217762805
100000000,1024,216644518
