size of n,number of threads,time in ns
100000,64,433258
100000,64,234588
100000,64,230542
100000,64,229671
100000,64,244788
100000,64,228386
1000000,64,1233858
1000000,64,1044167
1000000,64,1148979
1000000,64,1033442
1000000,64,1033911
1000000,64,1054963
10000000,64,11184877
10000000,64,11269293
10000000,64,11231695
10000000,64,11242487
10000000,64,11327254
10000000,64,13812550
100000000,64,111438172
100000000,64,109824592
100000000,64,103295716
100000000,64,102845963
100000000,64,103564036
100000000,64,106132827
100000,128,263504
100000,128,258242
100000,128,238084
100000,128,260521
100000,128,204894
100000,128,228966
1000000,128,1442562
1000000,128,949257
1000000,128,887970
1000000,128,863366
1000000,128,860270
1000000,128,820762
10000000,128,8336580
10000000,128,10148948
10000000,128,10090324
10000000,128,8420459
10000000,128,10576772
10000000,128,8954721
100000000,128,86471999
100000000,128,88798342
100000000,128,82189009
100000000,128,86569292
100000000,128,86235344
100000000,128,83301544
100000,256,203010
100000,256,197177
100000,256,715715
100000,256,384093
100000,256,224480
100000,256,393406
1000000,256,817930
1000000,256,816597
1000000,256,832161
1000000,256,938465
1000000,256,834793
1000000,256,809294
10000000,256,7732301
10000000,256,7862336
10000000,256,7694923
10000000,256,7792116
10000000,256,7746639
10000000,256,7861147
100000000,256,75462914
100000000,256,74829987
100000000,256,71630582
100000000,256,72070339
100000000,256,71564203
100000000,256,74834397
100000,512,301283
100000,512,245199
100000,512,211599
100000,512,217164
100000,512,209604
100000,512,209354
1000000,512,922918
1000000,512,1081027
1000000,512,898728
1000000,512,883875
1000000,512,1045864
1000000,512,878723
10000000,512,7239956
10000000,512,9618109
10000000,512,7362123
10000000,512,7348091
10000000,512,7789651
10000000,512,9066720
100000000,512,73578609
100000000,512,69381602
100000000,512,72506408
100000000,512,66664743
100000000,512,69225843
100000000,512,69489710
100000,1024,212686
100000,1024,229126
100000,1024,219545
100000,1024,350809
100000,1024,212824
100000,1024,216495
1000000,1024,1020972
1000000,1024,1040166
1000000,1024,1527612
1000000,1024,974002
1000000,1024,1027370
1000000,1024,1139294
10000000,1024,7358579
10000000,1024,7577395
10000000,1024,9660779
10000000,1024,7356118
10000000,1024,7402533
10000000,1024,9972267
100000000,1024,68872966
100000000,1024,70195836
100000000,1024,75586694
100000000,1024,72835214
100000000,1024,69118112
100000000,1024,68634933
